Loading repository data...
Reading installed packages...

S  | Name                                       | Type    | Version                                | Arch   | Repository
i  | typelib-1_0-EvinceDocument-3_0             | package | 46.3.1-1.3                             | x86_64 | Main Repository (OSS)
i  | typelib-1_0-EvinceView-3_0                 | package | 46.3.1-1.3                             | x86_64 | Main Repository (OSS)
i  | typelib-1_0-Fwupd-2_0                      | package | 1.9.25-2.1                             | x86_64 | Main Repository (OSS)
i  | typelib-1_0-Gck-2                          | package | 4.3.0-2.1                              | x86_64 | Main Repository (OSS)
i  | typelib-1_0-Gcr-4                          | package | 4.3.0-2.1                              | x86_64 | Main Repository (OSS)
i  | typelib-1_0-GdkPixbuf-2_0                  | package | 2.42.12-2.1                            | x86_64 | Main Repository (OSS)
i  | typelib-1_0-GdkPixdata-2_0                 | package | 2.42.12-2.1                            | x86_64 | Main Repository (OSS)
i  | typelib-1_0-Gdm-1_0                        | package | 47.0-1.1                               | x86_64 | Main Repository (OSS)
i  | typelib-1_0-Geoclue-2_0                    | package | 2.7.1-2.1                              | x86_64 | Main Repository (OSS)
i  | typelib-1_0-Gio-2_0                        | package | 2.82.2-3.1                             | x86_64 | Main Repository (OSS)
i  | typelib-1_0-GIRepository-3_0               | package | 2.82.2-3.1                             | x86_64 | Main Repository (OSS)
i  | typelib-1_0-GjsPrivate-1_0                 | package | 1.82.1-1.1                             | x86_64 | Main Repository (OSS)
i  | typelib-1_0-GLib-2_0                       | package | 2.82.2-3.1                             | x86_64 | Main Repository (OSS)
i  | typelib-1_0-GLibUnix-2_0                   | package | 2.82.2-3.1                             | x86_64 | Main Repository (OSS)
i  | typelib-1_0-GModule-2_0                    | package | 2.82.2-3.1                             | x86_64 | Main Repository (OSS)
i  | typelib-1_0-GnomeBG-4_0                    | package | 44.1-1.1                               | x86_64 | Main Repository (OSS)
i  | typelib-1_0-GnomeBluetooth-3_0             | package | 47.1-1.1                               | x86_64 | Main Repository (OSS)
i  | typelib-1_0-GnomeDesktop-4_0               | package | 44.1-1.1                               | x86_64 | Main Repository (OSS)
i  | typelib-1_0-GObject-2_0                    | package | 2.82.2-3.1                             | x86_64 | Main Repository (OSS)
i  | typelib-1_0-Graphene-1_0                   | package | 1.10.8-1.10                            | x86_64 | Main Repository (OSS)
i  | typelib-1_0-Gst-1_0                        | package | 1.24.9-1.1                             | x86_64 | Main Repository (OSS)
i  | typelib-1_0-GstTag-1_0                     | package | 1.24.9-1.1                             | x86_64 | Main Repository (OSS)
i  | typelib-1_0-Gtk-3_0                        | package | 3.24.43-3.1                            | x86_64 | Main Repository (OSS)
i  | typelib-1_0-Gtk-4_0                        | package | 4.16.7-1.1                             | x86_64 | Main Repository (OSS)
i  | typelib-1_0-GtkSource-4                    | package | 4.8.4-1.7                              | x86_64 | Main Repository (OSS)
i  | typelib-1_0-GtkSource-300                  | package | 299.3.0-1.1                            | x86_64 | Main Repository (OSS)
i  | typelib-1_0-GUdev-1_0                      | package | 238-1.4                                | x86_64 | Main Repository (OSS)
i  | typelib-1_0-GWeather-4_0                   | package | 4.4.4-1.1                              | x86_64 | Main Repository (OSS)
i  | typelib-1_0-Handy-1_0                      | package | 1.8.3-1.2                              | x86_64 | Main Repository (OSS)
i  | typelib-1_0-HarfBuzz-0_0                   | package | 10.1.0-1.2                             | x86_64 | Main Repository (OSS)
i  | typelib-1_0-IBus-1_0                       | package | 1.5.31-1.1                             | x86_64 | Main Repository (OSS)
i  | typelib-1_0-JavaScriptCore-4_1             | package | 2.46.4-2.1                             | x86_64 | Main Repository (OSS)
i  | typelib-1_0-Json-1_0                       | package | 1.10.0-1.1                             | x86_64 | Main Repository (OSS)
i  | typelib-1_0-Malcontent-0                   | package | 0.12.0-1.1                             | x86_64 | Main Repository (OSS)
i  | typelib-1_0-Modulemd-2_0                   | package | 2.15.0-3.2                             | x86_64 | Main Repository (OSS)
i  | typelib-1_0-NM-1_0                         | package | 1.50.0-1.1                             | x86_64 | Main Repository (OSS)
i  | typelib-1_0-NMA4-1_0                       | package | 1.10.6-3.3                             | x86_64 | Main Repository (OSS)
